DDB_ID,Mention_ID,Grain_Index,Candidate_Rank,Is_Primary,Block_Tag,Title,Place,Date_Text,Date_When,Date_NotBefore,Date_NotAfter,Grain_Form,Qty_Value,Qty_Unit,Price_Value,Price_Cur,Score,Dist_GP,Dist_GQ,Span_Toks,Lines_Crossed,Priceword_Near,Pos_Signal_Near,Ambiguous,AltScore,Alt_Qty,Alt_Price,Context_Window,Context_Type,Signal_Type,Signal_Strength,Neg_Signals,Rejection_Reason
p.berl.frisk;;1,16,1,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,3.416667,αρταβασ,27,δραχμασ,32.73,21,1,21,0,no,yes,no,,,,"17 ἔτους
Ἀντωνίνου Καίσαρος τοῦ
κυρίου πυροῦ ἀρτάβας 3 1/3 1/12 , τιμῆς τειμῆς
ὡς τῆς ἀρτάβης ἑκά στης 8 , τὰς συνα
γομ ένας δραχμὰς 27 2 πλήρης,
ἀ κολ ούθως τῷ",PRICE,priceword_ext,0.6,,
p.berl.frisk;;1,20,2,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,κριθ,25.708333,αρταβασ,98,δραχμασ,28.56,3,8,11,0,no,no,no,,,,"τὰς συν
αγ ομ ένας ἀργ υρίου δραχμὰς 98 , κριθ ῆς ὁμοίως
γενήμ ατος 17 ἔτους ἀρτάβας 25 2/3 1/24 , ὡς τῶν
100",OTHER,,0.0,,
p.berl.frisk;;1,22,14,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,κριθ,3,αρταβασ,122,δραχμασ,28.77,3,3,6,0,no,no,no,,,,"τὰς σ υνα γο μ ένας ἀργ υρίου δραχμὰς 122 , κριθ ῆς
ἀρτάβας 3 , ὡς τῶν 100 ἀρταβῶν δραχμῶν 180",OTHER,,0.0,,
p.berl.frisk;;1,24,2,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,475.291667,αρταβασ,8,δραχμασ,31.93,23,1,23,0,no,yes,no,,,,"ἔτους ἀπεργ ασίας γενομ ένης ἐπὶ σ οῦ πυροῦ ἀρτάβας 475 1/4 1/24 , κρ ιθ ῆς ἀρτάβας 119 3/4 , τιμῆς τοῦ μὲν πυροῦ
ὡς τῆς ἀρτάβης ἑκά στης 8 , δραχμὰς 3802 2 , τῆς δὲ κριθ",PRICE,priceword_ext,0.6,,
p.berl.frisk;;1,24,3,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,119.75,αρταβασ,8,δραχμασ,39.7,7,7,14,0,no,yes,no,,,,"ἀρτάβας 475 1/4 1/24 , κρ ιθ ῆς ἀρτάβας 119 3/4 , τιμῆς τοῦ μὲν πυροῦ
ὡς τῆς ἀρτάβης ἑκά στης 8 , δραχμὰς 3802 2 , τῆς δὲ κριθ",PRICE,priceword_ext,0.6,,
p.berl.frisk;;1,24,4,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,κριθ,100,αρταβων,3802,δραχμασ,32.99,6,5,11,0,no,yes,no,,,,"ὡς τῆς ἀρτάβης ἑκά στης 8 , δραχμὰς 3802 2 , τῆς δὲ κριθ ῆς ὡ ς τῶν ἀρταβῶν 100 , δραχμῶν 4 80 , ἀργ υρίου",PRICE,priceword_ext,0.6,,
p.berl.frisk;;1,25,2,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,52.354167,αρταβαι,8,δραχμων,39.11,15,1,15,0,no,yes,no,,,,"κελεύσαντος ἐκ τιμῆς τειμῆς ἀποδο θῆ ναι
πυροῦ ἀρτάβαι 52 1/4 1/12 1/48 , πυροῦ ἀρταβῶν 209 3/4 , ὡς τῆς ἀρτάβης δραχμῶν 8 , ἀπὸ τῶν συναγομ ένων δραχμῶν 1678",PRICE,"receipt_price,priceword_ext",0.7,,
p.berl.frisk;;1,25,3,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,209.75,αρταβων,8,δραχμων,43.62,8,1,8,0,no,yes,no,,,,"πυροῦ ἀρτάβαι 52 1/4 1/12 1/48 , πυροῦ ἀρταβῶν 209 3/4 , ὡς τῆς ἀρτάβης δραχμῶν 8 , ἀπὸ τῶν συναγομ ένων δραχμῶν 1678",PRICE,"receipt_price,priceword_ext",0.7,,
p.berl.frisk;;1,26,3,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,4.5,αρταβασ,54,δραχμαι,33.11,15,1,16,0,no,yes,no,,,,"ἀργυρίου δραχμὰς
πεντήκοντα τέσσαρες 4 , γίνονται δραχμαὶ 54 4 .
ἐσ μὲν δέ · Ὀνήσιμος Ἀφροδισίου εἰδ ὼς γρά μματα πυροῦ ἀρτάβας 4 1/2 .
Ἀμμώνιος Σαραπίωνος εἰδ ὼς",PRICE,sale_verb,0.5,,
p.berl.frisk;;1,26,4,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,2.333333,αρταβασ,54,δραχμαι,27.67,27,1,28,0,no,yes,no,,,,"ἀργυρίου δραχμὰς
πεντήκοντα τέσσαρες 4 , γίνονται δραχμαὶ 54 4 .
ἐσ μὲν δέ · Ὀνήσιμος Ἀφροδισίου εἰδ ὼς γρά μματα πυροῦ ἀρτάβας 4 1/2 .
Ἀμμώνιος Σαραπίωνος εἰδ ὼς γρά μματα πυροῦ ἀρτάβας 2 1/3 .
ἐγρ άφη δι ὰ",PRICE,sale_verb,0.5,,
